"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"mgp_perarchivesample","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",NA
"mgp_perarchivesample","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",NA
"mgp_perarchivesample","siteID","NEON site code","string",NA,"basic","asIs","N",NA
"mgp_perarchivesample","pitNamedLocation","Named location identifier for the soil pit","string",NA,"basic","asIs","N",NA
"mgp_perarchivesample","pitID","An identifier for the soil pit","string",NA,"basic","asIs","Y",NA
"mgp_perarchivesample","horizonID","An identifier for the soil horizon","string",NA,"basic","asIs","N",NA
"mgp_perarchivesample","horizonName","Soil horizon name","string",NA,"basic","asIs","N",NA
"mgp_perarchivesample","setDate","Date that trap was set","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",NA
"mgp_perarchivesample","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",NA
"mgp_perarchivesample","archiveID","Identifier for the archive sample","string",NA,"basic","asIs","N",NA
"mgp_perarchivesample","archiveLaboratoryName","Name of the laboratory or facility that is processing the archive sample","string",NA,"basic","asIs","N",NA
"mgp_perarchivesample","archiveTopDepth","Top depth of the archive sample","real","centimeter","basic","*.#(round)","N",NA
"mgp_perarchivesample","archiveBottomDepth","Bottom depth of the archive sample","real","centimeter","basic","*.#(round)","N",NA
"mgp_perarchivesample","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",NA
"mgp_perarchivesample","sampleMass","Mass of sample","real","gram","basic","*.#(round)","N",NA
"mgp_perarchivesample","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",NA
"mgp_perarchivesample","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",NA
"mgp_perbiogeosample","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",NA
"mgp_perbiogeosample","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",NA
"mgp_perbiogeosample","siteID","NEON site code","string",NA,"basic","asIs","N",NA
"mgp_perbiogeosample","pitNamedLocation","Named location identifier for the soil pit","string",NA,"basic","asIs","N",NA
"mgp_perbiogeosample","pitID","An identifier for the soil pit","string",NA,"basic","asIs","N",NA
"mgp_perbiogeosample","horizonID","An identifier for the soil horizon","string",NA,"basic","asIs","N",NA
"mgp_perbiogeosample","biogeoID","Identifier for the biogeochemistry sample","string",NA,"basic","asIs","Y",NA
"mgp_perbiogeosample","horizonName","Soil horizon name","string",NA,"basic","asIs","N",NA
"mgp_perbiogeosample","biogeoHorizonProportion","Proportion of horizon represented by biogeochemistry sample on a volume basis","real","proportion","basic","*.#(round)","N",NA
"mgp_perbiogeosample","biogeoSampleType","Type of biogeochemistry sample","string",NA,"basic","asIs","N",NA
"mgp_perbiogeosample","setDate","Date that trap was set","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",NA
"mgp_perbiogeosample","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",NA
"mgp_perbiogeosample","coarseFrag2To5","Coarse fragment (2-5 mm) content of the <20 mm size fraction of the biogeochemistry soil sample","real","gramsPerKilogram","basic","integer","N",NA
"mgp_perbiogeosample","coarseFrag5To20","Coarse fragment (5-20 mm) content of the <20 mm size fraction of the biogeochemistry soil sample","real","gramsPerKilogram","basic","integer","N",NA
"mgp_perbiogeosample","sandTotal","Total sand (0.047-2 mm) content on a weight basis of the <2 mm fraction","real","percent","basic","*.#(round)","N",NA
"mgp_perbiogeosample","siltTotal","Total silt (0.002-0.047 mm) content on a weight basis of the <2 mm fraction","real","percent","basic","*.#(round)","N",NA
"mgp_perbiogeosample","clayTotal","Total clay (<0.002 mm) content on a weight basis of the <2 mm fraction","real","percent","basic","*.#(round)","N",NA
"mgp_perbiogeosample","carbonateClay","Carbonate clay (<0.002 mm) content on a weight basis of the <2 mm fraction","real","percent","basic","*.#(round)","N",NA
"mgp_perbiogeosample","clayFineContent","Fine clay (<0.0002 mm) content on a weight basis of the <2 mm fraction","real","percent","basic","*.#(round)","N",NA
"mgp_perbiogeosample","siltFineContent","Fine silt (0.002-0.02 mm) content on a weight basis of the <2 mm fraction","real","percent","basic","*.#(round)","N",NA
"mgp_perbiogeosample","siltCoarseContent","Coarse silt (0.02-0.047 mm) content on a weight basis of the <2 mm fraction","real","percent","basic","*.#(round)","N",NA
"mgp_perbiogeosample","sandVeryFineContent","Very fine sand (0.047-0.105 mm) content on a weight basis of the <2 mm fraction","real","percent","basic","*.#(round)","N",NA
"mgp_perbiogeosample","sandFineContent","Fine sand (0.105-0.25 mm) content on a weight basis of the <2 mm fraction","real","percent","basic","*.#(round)","N",NA
"mgp_perbiogeosample","sandMediumContent","Medium sand (0.25-0.5 mm) content on a weight basis of the <2 mm fraction","real","percent","basic","*.#(round)","N",NA
"mgp_perbiogeosample","sandCoarseContent","Coarse sand (0.5-1 mm) content on a weight basis of the <2 mm fraction","real","percent","basic","*.#(round)","N",NA
"mgp_perbiogeosample","sandVeryCoarseContent","Very coarse sand (1-2 mm) content on a weight basis of the <2 mm fraction","real","percent","basic","*.#(round)","N",NA
"mgp_perbiogeosample","carbonTot","Total carbon concentration of the <2 mm fraction","real","gramsPerKilogram","basic","*.#(round)","N",NA
"mgp_perbiogeosample","nitrogenTot","Total nitrogen concentration of the <2 mm fraction","real","gramsPerKilogram","basic","*.##(round)","N",NA
"mgp_perbiogeosample","sulfurTot","Total sulfur concentration of the <2 mm fraction","real","gramsPerKilogram","basic","*.##(round)","N",NA
"mgp_perbiogeosample","estimatedOC","Estimated organic carbon concentration of the <2 mm fraction","real","gramsPerKilogram","basic","*.#(round)","N",NA
"mgp_perbiogeosample","airDryOvenDry","Airdry/ovendry ratio of the <2 mm fraction","real","proportion","basic","*.###(round)","N",NA
"mgp_perbiogeosample","alMjelm","Total dissolution aluminum from the <2 mm fraction","real","milligramsPerKilogram","basic","integer","N",NA
"mgp_perbiogeosample","caMjelm","Total dissolution calcium from the <2 mm fraction","real","milligramsPerKilogram","basic","integer","N",NA
"mgp_perbiogeosample","feMjelm","Total dissolution iron from the <2 mm fraction","real","milligramsPerKilogram","basic","integer","N",NA
"mgp_perbiogeosample","kMjelm","Total dissolution potassium from the <2 mm fraction","real","milligramsPerKilogram","basic","integer","N",NA
"mgp_perbiogeosample","mgMjelm","Total dissolution magnesium from the <2 mm fraction","real","milligramsPerKilogram","basic","integer","N",NA
"mgp_perbiogeosample","mnMjelm","Total dissolution manganese from the <2 mm fraction","real","milligramsPerKilogram","basic","integer","N",NA
"mgp_perbiogeosample","naMjelm","Total dissolution sodium from the <2 mm fraction","real","milligramsPerKilogram","basic","integer","N",NA
"mgp_perbiogeosample","pMjelm","Total dissolution phosphorous from the <2 mm fraction","real","milligramsPerKilogram","basic","integer","N",NA
"mgp_perbiogeosample","siMjelm","Total dissolution silicon from the <2 mm fraction","real","milligramsPerKilogram","basic","integer","N",NA
"mgp_perbiogeosample","srMjelm","Total dissolution strontium from the <2 mm fraction","real","milligramsPerKilogram","basic","integer","N",NA
"mgp_perbiogeosample","tiMjelm","Total dissolution titanium from the <2 mm fraction","real","milligramsPerKilogram","basic","integer","N",NA
"mgp_perbiogeosample","zrMjelm","Total dissolution zirconium from the <2 mm fraction","real","milligramsPerKilogram","basic","integer","N",NA
"mgp_perbiogeosample","phCacl2","pH of the <2 mm fraction in CaCl2","real","pH","basic","*.#(round)","N",NA
"mgp_perbiogeosample","phH2o","pH of the <2 mm fraction in water","real","pH","basic","*.#(round)","N",NA
"mgp_perbiogeosample","ec12pre","1:2 Electrical conductivity of the <2 mm fraction","real","decisiemensPerMeter","basic","*.##(round)","N",NA
"mgp_perbiogeosample","gypsumConc","Gypsum concentration of the <2 mm fraction","real","gramsPerKilogram","basic","integer","N",NA
"mgp_perbiogeosample","caco3Conc","Carbonate concentration of the <2 mm fraction expressed as calcium carbonate","real","gramsPerKilogram","basic","integer","N",NA
"mgp_perbiogeosample","caNh4d","Ammonium acetate extractable Calcium from the <2 mm fraction","real","centimolesChargePerKilogram","basic","*.#(round)","N",NA
"mgp_perbiogeosample","kNh4d","Ammonium acetate extractable potassium from the <2 mm fraction","real","centimolesChargePerKilogram","basic","*.#(round)","N",NA
"mgp_perbiogeosample","mgNh4d","Ammonium acetate extractable magnesium from the <2 mm fraction","real","centimolesChargePerKilogram","basic","*.#(round)","N",NA
"mgp_perbiogeosample","naNh4d","Ammonium acetate extractable sodium from the <2 mm fraction","real","centimolesChargePerKilogram","basic","*.#(round)","N",NA
